timestamp,cpu_percent,memory
1733481904,0.0,4978K
1733481906,0.0,4978K
1733481908,0.0,4978K
1733481911,0.0,5026K+
1733481913,0.0,5026K
1733481915,0.0,5026K
1733481918,0.0,5026K
1733481920,0.0,5026K
1733481922,0.0,5026K
1733481925,0.0,5026K
1733481927,0.0,5026K
1733481929,0.0,5026K
1733481931,0.0,5026K
1733481934,0.0,5026K
1733481936,0.0,5026K
1733481938,0.0,5026K
1733481940,0.0,5026K
1733481943,0.0,5026K
1733481945,0.0,5026K
1733481947,0.0,5026K
1733481950,0.0,5026K
1733481952,0.0,5026K
1733481954,0.0,5026K
1733481956,0.0,5026K
1733481959,3.8,7010K+
1733481961,4.9,7922K+
1733481964,7.9,9058K+
1733481966,19.4,11M+
1733481968,20.7,12M+
1733481970,20.9,11M-
1733481973,19.3,12M+
1733481975,17.1,12M-
1733481977,17.4,12M+
1733481980,16.9,12M-
1733481982,18.1,12M
1733481985,16.1,12M-
1733481987,19.3,12M-
1733481990,18.9,12M+
1733481992,17.3,12M
1733481994,16.9,12M
1733481997,19.6,12M+
1733481999,18.3,12M-
1733482002,18.1,12M+
1733482004,18.4,12M-
1733482006,17.8,12M
1733482009,19.9,12M+
1733482011,18.0,12M
1733482013,17.3,12M
1733482016,18.4,12M
1733482018,18.1,12M
1733482020,18.5,12M
1733482023,20.0,12M
1733482025,17.8,12M
1733482028,18.9,12M
1733482030,19.1,12M
1733482032,17.8,12M
1733482035,18.4,13M
1733482037,20.1,13M
1733482039,17.5,13M
1733482042,18.6,13M
1733482044,18.8,13M
1733482047,17.1,13M
1733482049,18.2,13M
1733482051,18.7,13M
1733482054,17.8,13M
1733482056,18.0,13M
1733482058,19.1,13M
1733482061,18.0,13M-
1733482063,17.4,13M
1733482066,17.5,13M
1733482068,19.1,13M+
1733482070,17.6,13M-
1733482073,17.6,9746K+
1733482075,20.0,10M+
1733482078,18.8,11M+
1733482080,17.6,13M+
1733482082,16.8,13M
1733482085,16.3,13M+
1733482087,19.9,13M+
1733482090,18.0,9602K+
1733482092,18.7,10M+
1733482095,17.5,10M+
1733482097,18.0,10M
1733482099,17.5,10M+
1733482102,19.6,10M+
1733482104,16.8,10M+
1733482107,15.7,10M-
1733482109,17.1,11M+
1733482112,18.4,11M
1733482114,19.0,11M+
1733482116,17.0,11M-
1733482119,18.4,11M
1733482121,16.3,11M+
1733482124,15.7,11M+
1733482126,16.5,11M
1733482129,18.7,11M+
1733482131,17.6,11M
1733482133,17.0,11M-
1733482136,17.1,11M+
1733482138,17.3,11M+
1733482141,16.5,11M+
1733482143,14.9,11M
1733482145,15.7,12M
1733482148,17.5,12M+
1733482150,17.6,12M-
1733482153,17.4,12M+
1733482155,16.3,12M
1733482157,16.1,12M+
1733482160,17.3,12M-
1733482162,17.8,12M+
1733482165,18.1,12M
1733482167,15.7,12M
1733482170,19.0,12M+
1733482172,19.4,12M
1733482174,16.7,13M+
1733482177,18.8,13M+
1733482179,16.9,13M
1733482182,15.7,13M-
1733482184,17.9,13M
1733482186,18.0,13M
1733482189,18.4,13M+
1733482191,18.5,13M
1733482194,16.7,13M
1733482196,15.1,13M+
1733482199,18.3,15M-
1733482201,16.9,15M+
1733482203,18.6,15M
1733482206,15.3,15M
1733482208,17.9,15M-
1733482211,18.9,15M-
1733482213,18.8,15M
1733482215,15.7,15M
1733482218,17.0,16M+
1733482220,18.5,16M
1733482223,17.4,16M
1733482225,17.3,16M
1733482227,18.7,16M
1733482230,17.4,16M+
1733482232,17.3,16M
1733482235,19.1,16M-
1733482237,17.2,16M
1733482239,18.1,16M
1733482242,18.5,16M+
1733482244,18.8,16M
1733482247,18.7,16M
1733482249,17.7,16M
1733482251,19.3,16M
1733482254,17.8,16M
1733482256,18.2,16M
1733482259,18.0,16M
1733482261,18.7,16M
1733482263,17.1,16M
1733482266,18.9,16M
1733482268,18.2,16M
1733482271,18.5,16M+
1733482273,18.9,16M+
1733482275,17.9,16M-
1733482278,17.6,16M
1733482280,17.8,16M
1733482283,18.0,16M
1733482285,19.2,16M+
1733482287,17.4,16M
1733482290,18.4,16M
1733482292,18.9,16M-
1733482295,19.0,16M
1733482297,18.2,16M-
1733482299,18.6,16M
1733482302,18.3,16M
1733482304,17.8,16M+
1733482307,18.1,16M
1733482309,18.4,16M
1733482311,18.9,16M+
1733482314,19.3,16M
1733482316,19.0,16M
1733482319,18.5,16M
1733482321,18.1,16M
1733482323,20.8,16M-
1733482326,17.4,16M+
1733482328,18.6,17M-
1733482331,18.7,17M-
1733482333,17.4,17M
1733482335,18.5,17M
1733482338,18.7,17M+
1733482340,18.6,17M-
1733482343,19.1,17M
1733482345,18.3,17M
1733482347,18.1,17M+
1733482350,19.7,17M-
1733482352,18.3,17M
1733482354,18.6,17M
1733482357,18.6,17M+
1733482359,18.6,17M+
1733482362,13.7,17M+
1733482364,18.8,17M
1733482366,18.3,17M-
1733482369,19.5,17M-
1733482371,18.2,17M
1733482374,18.2,17M
1733482376,18.8,17M-
1733482379,19.3,17M-
1733482381,17.7,17M
1733482383,18.7,17M-
1733482386,19.3,17M
1733482388,19.0,17M
1733482391,19.6,17M
1733482393,17.3,17M+
1733482396,18.1,17M
1733482398,18.0,17M+
1733482400,18.4,17M+
1733482403,17.5,17M
1733482405,18.0,18M+
1733482408,18.2,18M
1733482410,19.2,17M+
1733482412,17.8,18M
1733482415,19.6,18M+
1733482417,18.4,18M+
1733482419,10.2,18M+
1733482422,10.6,19M+
1733482424,10.1,19M
1733482427,10.7,19M
1733482429,9.9,19M
1733482431,11.9,19M+
1733482434,10.7,19M
1733482436,10.6,19M
1733482438,10.0,19M
1733482441,10.8,19M
1733482443,11.0,19M+
1733482445,10.5,19M
1733482448,10.7,19M
1733482450,10.5,19M-
1733482452,11.4,19M
1733482455,12.5,19M+
1733482457,10.2,19M-
1733482460,10.1,19M+
1733482462,10.2,19M
1733482464,10.5,19M
1733482467,10.5,19M
1733482469,10.4,19M
1733482471,10.0,19M-
1733482474,9.9,19M
1733482476,10.9,19M
1733482478,11.6,19M-
1733482481,10.3,19M
1733482483,10.2,19M
1733482486,11.1,19M+
1733482488,10.7,19M-
1733482490,10.3,19M
1733482493,10.1,19M+
1733482495,11.1,19M
1733482497,9.9,20M
1733482500,10.6,20M-
1733482502,11.8,20M
1733482504,10.4,20M
1733482507,10.5,20M
1733482509,12.0,20M+
1733482511,10.9,20M
1733482514,11.3,20M
1733482516,12.1,20M-
1733482518,10.9,20M
1733482521,10.4,20M
1733482523,11.8,20M-
1733482526,10.6,20M
1733482528,10.4,20M
1733482530,12.2,20M
1733482533,10.1,20M
1733482535,10.7,20M-
1733482537,10.7,20M+
1733482540,10.0,20M
1733482542,10.4,21M
1733482544,11.0,21M
1733482547,11.2,21M
1733482549,10.7,21M+
1733482552,10.3,21M
1733482554,10.8,21M+
1733482556,10.3,21M
1733482559,10.7,21M+
1733482561,11.9,21M-
1733482563,11.5,21M+
1733482566,10.3,21M+
1733482568,5.9,21M
1733482570,5.1,21M
1733482573,5.2,21M
1733482575,6.2,21M
1733482577,5.1,21M
1733482580,6.3,21M
1733482582,5.3,21M
1733482584,5.3,21M
1733482586,5.1,21M
1733482589,5.2,21M
1733482591,6.3,21M+
1733482593,5.1,21M
1733482596,5.3,21M
1733482598,5.3,21M
1733482600,4.9,21M
1733482603,5.3,21M
1733482605,5.2,21M+
1733482607,5.1,21M
1733482609,6.1,21M-
1733482612,5.0,22M
1733482614,5.6,22M-
1733482616,5.0,21M
1733482619,4.9,21M
1733482621,4.9,21M
1733482623,5.0,21M
1733482626,4.9,21M
1733482628,6.1,21M-
1733482630,4.8,21M
1733482632,6.1,21M+
1733482635,5.2,21M
1733482637,5.3,21M-
1733482639,5.0,21M
1733482642,5.2,21M
1733482644,6.3,21M-
1733482646,5.3,21M
1733482649,5.2,21M
1733482651,5.3,21M
1733482653,5.3,21M
1733482655,5.1,21M
1733482658,5.2,21M
1733482660,6.4,21M
1733482662,5.2,21M
1733482665,4.9,21M+
1733482667,5.1,21M
1733482669,5.1,21M
1733482672,5.9,21M-
1733482674,4.8,21M+
1733482676,4.9,22M
1733482679,4.9,22M+
1733482681,4.9,22M
1733482683,5.1,22M-
1733482686,5.4,21M-
1733482688,5.0,21M
1733482690,5.1,21M
1733482692,5.3,21M
1733482695,4.8,21M
1733482697,6.0,21M+
1733482699,5.3,21M
1733482702,5.1,21M
1733482704,5.1,21M
1733482706,5.1,21M
1733482709,5.3,21M
1733482711,5.3,21M
1733482713,5.0,21M
1733482716,5.1,21M
1733482718,5.0,21M
1733482720,4.9,21M
1733482722,5.6,21M
1733482725,5.1,21M
1733482727,5.3,21M
1733482729,5.9,21M+
1733482732,5.4,21M
1733482734,5.0,21M
1733482736,5.4,22M
1733482739,5.0,22M
1733482741,4.9,22M
1733482743,4.9,22M
1733482745,4.9,22M
1733482748,5.1,22M
1733482750,5.1,22M
1733482752,5.1,22M
1733482755,5.1,22M
1733482757,5.0,22M+
1733482759,4.7,22M
1733482762,5.0,22M
1733482764,5.0,22M
1733482766,4.8,22M
1733482768,5.2,22M
1733482771,5.0,22M
1733482773,5.0,22M+
1733482775,4.9,22M
1733482778,5.0,22M
1733482780,5.1,22M
1733482782,5.0,22M
1733482785,5.0,22M+
1733482787,6.1,22M-
1733482789,4.9,22M
1733482791,5.1,22M
1733482794,5.0,22M
1733482796,5.7,22M-
1733482798,5.0,21M
1733482801,4.8,21M
1733482803,5.0,22M+
1733482805,5.1,22M
1733482808,5.0,22M
1733482810,5.0,22M
1733482812,5.0,22M
1733482814,5.1,22M
1733482817,6.1,22M
1733482819,5.2,22M
1733482821,5.2,22M
1733482824,5.2,22M
1733482826,5.8,22M+
1733482828,4.9,22M
1733482831,4.9,22M
1733482833,4.9,22M
1733482835,5.3,22M
1733482838,4.9,22M
1733482840,5.1,22M+
1733482842,4.7,22M
1733482845,4.9,22M+
1733482847,4.9,22M
1733482849,4.8,22M
1733482851,4.9,22M
1733482854,6.0,22M-
1733482856,5.1,22M
1733482858,5.0,22M
1733482861,5.1,22M
1733482863,5.7,22M-
1733482865,4.8,22M+
1733482868,4.6,22M+
1733482870,4.9,22M
1733482872,5.7,22M+
1733482875,4.7,22M
1733482877,4.9,22M
1733482879,5.0,22M
1733482882,5.8,22M-
1733482884,5.1,22M
1733482886,4.8,22M
1733482888,5.2,22M
1733482891,5.4,22M-
1733482893,5.1,22M
1733482895,5.2,22M
1733482898,5.1,22M
1733482900,5.2,22M
1733482902,5.2,22M
1733482905,5.1,22M
1733482907,6.2,22M
1733482909,5.1,22M
1733482912,5.0,22M
1733482914,5.2,22M
1733482916,5.0,22M
1733482918,5.1,22M
1733482921,5.1,22M
1733482923,5.3,22M
1733482925,5.4,22M-
1733482928,5.1,22M
1733482930,5.0,22M
1733482932,5.1,22M
1733482934,5.0,22M
1733482937,5.2,22M
1733482939,5.0,22M
1733482941,4.8,22M
1733482944,5.0,22M
1733482946,5.0,22M
1733482948,4.9,22M
1733482951,4.4,22M
1733482953,4.2,22M
1733482955,4.4,22M
1733482958,4.9,22M
1733482960,5.0,22M
1733482962,6.1,22M
