timestamp,cpu_percent,memory
1733488796,0.0,13M
1733488798,0.0,13M
1733488800,0.0,13M
1733488803,0.0,13M
1733488805,0.0,13M
1733488808,0.0,13M
1733488810,0.0,13M
1733488813,0.0,13M
1733488815,4.8,13M-
1733488818,12.6,13M+
1733488820,18.8,13M+
1733488823,18.3,15M+
1733488825,22.5,15M+
1733488828,23.5,15M+
1733488830,21.9,15M-
1733488833,26.1,15M+
1733488835,22.2,15M
1733488837,23.7,15M+
1733488840,21.4,15M-
1733488842,21.4,15M+
1733488845,23.3,15M+
1733488847,24.2,15M-
1733488850,24.8,15M+
1733488852,24.1,15M+
1733488854,23.5,15M
1733488857,23.6,15M
1733488859,23.0,15M-
1733488862,23.1,15M-
1733488864,22.3,15M+
1733488867,22.5,15M+
1733488869,23.0,15M+
1733488871,22.6,15M+
1733488874,22.8,15M
1733488876,22.6,15M+
1733488879,23.4,15M-
1733488881,22.0,15M
1733488883,22.3,16M+
1733488886,22.6,16M
1733488888,22.1,16M
1733488891,22.2,16M+
1733488893,22.3,16M-
1733488896,20.8,16M
1733488898,22.2,15M+
1733488901,22.2,15M-
1733488903,22.2,15M
1733488905,20.2,15M
1733488908,21.6,15M
1733488910,21.3,15M
1733488913,21.8,15M
1733488915,22.2,15M+
1733488918,21.1,16M
1733488920,21.4,16M+
1733488923,21.8,16M
1733488925,21.8,16M+
1733488928,21.4,16M
1733488930,21.0,16M
1733488933,21.5,16M
1733488935,22.1,16M
1733488938,21.6,16M
1733488940,21.6,16M
1733488943,21.2,16M
1733488945,22.0,16M
1733488947,21.0,16M
1733488950,20.5,16M
1733488952,17.0,16M
1733488955,20.9,16M
1733488957,21.0,16M
1733488960,21.3,16M
1733488962,20.9,16M+
1733488965,21.5,16M+
1733488967,18.1,16M+
1733488970,21.6,16M
1733488972,18.7,16M
1733488975,20.8,16M-
1733488977,21.2,16M
1733488980,21.0,16M
1733488982,18.8,16M+
1733488985,20.0,16M+
1733488988,19.7,16M
1733488990,18.2,16M
1733488993,20.1,16M
1733488995,19.9,16M
1733488998,19.5,16M+
1733489000,19.4,16M
1733489003,14.4,16M+
1733489005,18.4,16M+
1733489008,19.6,16M
1733489010,18.4,16M+
1733489013,19.4,16M
1733489015,19.0,16M
1733489018,21.3,16M
1733489020,21.1,16M+
1733489023,19.9,16M-
1733489025,21.1,16M
1733489028,20.5,16M
1733489030,20.6,16M
1733489033,20.8,16M+
1733489035,20.8,16M
1733489038,20.0,16M
1733489040,22.0,17M+
1733489043,20.6,17M
1733489045,19.0,17M+
1733489048,19.3,17M-
