timestamp,cpu_percent,memory
1733478686,0.0,4034K
1733478688,0.0,4034K
1733478690,0.0,4034K
1733478693,0.0,4034K
1733478695,0.0,4034K
1733478698,0.0,4034K
1733478700,0.0,4034K
1733478702,0.0,4034K
1733478704,0.0,4034K
1733478707,0.0,4034K
1733478709,0.0,4034K
1733478711,0.0,4034K
1733478714,0.0,4034K
1733478716,0.0,4034K
1733478718,0.0,4034K
1733478720,3.5,5586K+
1733478723,5.3,6770K+
1733478725,6.2,8482K+
1733478727,6.5,8818K+
1733478730,6.0,9106K+
1733478732,5.9,9794K+
1733478734,6.2,9746K
1733478737,6.7,9810K
1733478739,6.1,9874K+
1733478741,5.8,9970K+
1733478743,5.1,10M+
1733478746,5.8,10M+
1733478748,5.1,10M+
1733478750,5.2,10M
1733478753,5.4,10M
1733478755,5.2,10M
1733478757,5.4,10M
1733478759,5.1,10M
1733478762,5.0,11M+
1733478764,5.0,11M
1733478766,5.5,11M-
1733478769,5.4,11M
1733478771,5.5,11M
1733478773,5.4,11M
1733478775,5.4,11M
1733478778,5.3,11M
1733478780,5.1,11M
1733478782,5.4,11M
1733478785,6.1,11M
1733478787,5.4,11M
1733478789,5.0,11M
1733478792,5.7,11M
1733478794,5.4,11M
1733478796,5.9,11M
1733478798,5.5,11M-
1733478801,6.6,11M
1733478803,5.4,11M
1733478805,5.4,11M
1733478808,5.5,11M
1733478810,5.6,11M
1733478812,5.7,11M
1733478814,5.3,11M
1733478817,5.2,11M
1733478819,5.3,11M
1733478821,6.1,11M
1733478823,5.6,11M
1733478826,5.3,11M
1733478828,5.1,11M
1733478830,5.4,11M
1733478833,5.4,11M
1733478835,5.5,11M
1733478837,7.0,11M+
1733478839,5.6,11M
1733478842,5.2,11M
1733478844,5.1,11M
1733478846,5.3,11M
1733478849,5.2,11M
1733478851,5.6,11M
1733478853,5.1,11M
1733478855,6.6,11M
1733478858,5.3,11M
1733478860,5.3,11M
1733478862,5.7,11M
1733478865,5.5,11M
1733478867,5.3,11M
1733478869,5.3,11M
1733478871,5.6,11M
1733478874,6.5,11M
1733478876,5.0,11M
1733478878,5.2,11M
1733478881,5.1,11M
1733478883,5.2,11M
1733478885,5.0,11M
1733478888,5.1,11M
1733478890,5.2,11M
1733478892,5.5,11M
1733478894,5.5,11M
1733478897,5.4,11M
1733478899,5.0,11M
1733478901,5.2,11M
1733478904,4.9,11M
1733478906,5.2,11M
1733478908,5.4,11M
1733478911,5.4,11M
1733478913,5.7,11M
1733478915,5.1,11M
1733478917,5.3,11M
1733478920,5.2,11M
1733478922,5.8,11M
1733478924,5.5,11M
1733478927,6.1,11M
1733478929,5.6,11M
1733478931,5.4,11M
1733478934,5.1,11M
1733478936,5.4,11M
1733478938,5.4,11M
1733478941,5.3,11M
1733478943,5.0,11M
1733478945,5.5,11M
1733478948,5.3,11M
1733478950,5.2,11M
1733478952,4.9,11M
1733478955,5.4,11M
1733478957,5.4,11M
1733478959,5.1,11M
1733478962,6.3,11M-
1733478964,5.4,11M
1733478966,5.3,11M-
1733478968,5.1,11M
1733478971,5.1,11M
1733478973,5.1,11M
1733478975,5.0,11M
1733478978,5.2,11M
1733478980,6.8,11M
1733478982,5.0,11M
1733478985,5.0,11M
1733478987,5.2,11M
1733478989,5.4,11M
1733478992,5.3,11M
1733478994,5.2,11M
1733478996,5.1,11M
1733478999,4.6,11M
1733479001,4.9,11M
1733479004,5.0,11M
1733479006,4.8,11M
1733479008,4.9,11M
1733479011,4.9,11M
1733479013,5.1,11M
1733479015,5.0,11M
1733479017,5.4,11M
1733479020,5.0,11M
1733479022,5.8,11M
1733479024,5.2,11M
1733479027,5.5,11M
1733479029,5.2,11M
