timestamp,cpu_percent,memory
1733421930,0.1,4401K
1733421933,0.0,4401K
1733421935,0.1,4433K+
1733421938,22.6,6194K+
1733421940,24.6,7074K+
1733421942,32.8,10M+
1733421945,34.7,10M+
1733421947,30.5,11M+
1733421950,31.2,11M+
1733421952,34.5,11M-
1733421954,30.7,11M+
1733421957,32.4,12M+
1733421959,30.3,12M+
1733421961,30.1,12M+
1733421964,26.8,12M
1733421966,27.1,12M
1733421968,27.1,12M+
1733421971,25.2,12M+
1733421973,26.2,12M
1733421975,26.2,12M
1733421978,27.2,12M
1733421980,26.1,12M
1733421982,25.0,13M
1733421985,27.3,13M
1733421987,25.9,12M
1733421989,24.9,12M
1733421992,26.3,12M
1733421994,23.1,12M
1733421996,22.9,12M
1733421999,22.9,12M
1733422001,23.5,12M
1733422004,25.3,12M
1733422006,28.6,12M-
1733422008,23.3,12M
1733422011,22.3,13M+
1733422013,23.4,13M
1733422015,22.8,13M
1733422018,27.0,13M
1733422020,27.1,13M
1733422022,28.2,13M
1733422025,28.5,13M+
1733422027,27.5,13M
1733422029,25.9,13M
1733422032,25.1,13M
1733422034,24.9,13M
1733422036,24.8,13M
1733422039,24.9,13M
1733422041,23.1,13M
1733422043,26.4,13M
1733422046,32.5,13M
1733422048,25.7,13M
