timestamp,cpu_percent,memory
1733480527,0.0,4210K
1733480529,0.0,4210K
1733480532,0.0,4210K
1733480534,0.0,4210K
1733480536,0.0,4210K
1733480539,0.0,4210K
1733480541,0.0,4210K
1733480543,0.0,4210K
1733480546,0.0,4210K
1733480548,0.0,4210K
1733480550,0.0,4210K
1733480553,0.0,4210K
1733480555,0.0,4210K
1733480557,0.0,4210K
1733480560,0.0,4210K
1733480562,0.0,4210K
1733480564,0.0,4210K
1733480567,0.0,4210K
1733480569,0.0,4210K
1733480571,0.0,4210K
1733480574,0.0,4210K
1733480576,0.0,4210K
1733480578,0.0,4210K
1733480580,0.0,4210K
1733480583,0.0,4210K
1733480585,0.0,4210K
1733480587,0.0,4210K
1733480590,0.0,4210K
1733480592,0.0,4210K
1733480594,0.7,4754K+
1733480597,9.2,9794K+
1733480599,9.0,10M+
1733480601,8.9,11M+
1733480603,9.0,13M+
1733480606,7.9,13M-
1733480608,8.6,15M
1733480610,10.0,15M+
1733480613,8.4,15M
1733480615,8.5,15M+
1733480617,9.8,16M+
1733480619,8.6,16M
1733480622,8.8,16M
1733480624,9.6,16M
1733480626,8.3,16M
1733480629,8.4,16M
1733480631,8.9,16M+
1733480633,9.7,16M+
1733480635,8.4,16M
1733480638,8.4,16M
1733480640,9.5,17M+
1733480642,8.4,17M
1733480645,8.3,17M
1733480647,8.8,17M
1733480649,9.9,17M
1733480651,8.4,17M+
1733480654,8.2,17M
1733480656,8.1,17M
1733480658,9.2,17M
1733480660,9.3,17M
1733480663,8.0,18M
1733480665,8.3,18M
1733480667,8.6,18M
1733480670,9.8,18M+
1733480672,9.6,18M
1733480674,8.3,18M
1733480676,8.0,18M
1733480679,8.1,18M
1733480681,8.3,18M
1733480683,9.6,18M
1733480686,9.3,18M
1733480688,9.5,18M
1733480690,9.6,18M
1733480692,9.1,18M
1733480695,8.0,18M
1733480697,8.0,18M
1733480699,7.9,18M
1733480702,8.7,18M+
1733480704,8.5,18M
1733480706,8.1,18M
1733480708,8.7,18M+
1733480711,9.1,18M+
1733480713,9.2,18M+
1733480715,9.4,18M
1733480717,9.4,18M
1733480720,9.6,18M
1733480722,9.5,18M+
1733480724,9.8,18M+
1733480727,9.6,18M
1733480729,8.5,18M
1733480731,8.6,18M
1733480733,9.7,18M
1733480736,9.4,18M
1733480738,8.0,18M
1733480740,8.0,18M
1733480743,8.2,19M
1733480745,8.2,19M
1733480747,8.2,19M
1733480749,8.3,19M
1733480752,8.3,19M
1733480754,8.4,19M
1733480756,8.3,19M
1733480759,8.2,19M
1733480761,7.8,19M
1733480763,8.2,19M
1733480765,9.2,19M
1733480768,9.3,19M
1733480770,9.6,19M
1733480772,9.3,19M
1733480774,9.5,19M
1733480777,9.4,19M+
1733480779,9.1,19M
1733480781,9.3,19M
1733480784,9.5,19M
1733480786,9.2,19M
1733480788,9.1,19M
1733480790,7.9,19M
1733480793,8.0,19M
1733480795,7.9,19M
1733480797,7.9,19M
1733480800,8.1,19M
1733480802,8.1,19M
1733480804,9.5,19M
1733480806,7.9,19M
1733480809,9.5,19M+
1733480811,7.8,19M
1733480813,8.2,19M
1733480816,9.1,19M
1733480818,7.9,19M
1733480820,9.1,19M
1733480822,7.7,19M
1733480825,8.0,19M
1733480827,9.5,19M+
1733480829,8.0,19M
1733480832,8.0,19M
1733480834,8.2,19M
1733480836,8.0,19M
1733480838,9.5,19M
1733480841,9.0,19M+
1733480843,7.8,19M
1733480845,7.9,19M
1733480848,9.3,19M
1733480850,8.1,19M
1733480852,8.1,19M
1733480854,9.3,19M
1733480857,7.8,19M
1733480859,7.9,19M
1733480861,8.7,19M
1733480864,9.4,19M
1733480866,8.2,19M
1733480868,8.2,19M
1733480870,9.3,19M
1733480873,7.9,19M
1733480875,7.8,19M
1733480877,9.4,19M
1733480880,7.6,19M
1733480882,8.0,19M
1733480884,9.0,19M
1733480887,9.4,19M+
1733480889,8.2,19M
1733480891,8.9,19M
1733480894,0.0,19M
1733480896,0.0,19M
1733480898,0.0,19M
1733480901,0.0,19M
1733480903,0.0,19M
1733480905,0.0,19M
1733480908,0.0,19M
1733480910,0.0,19M
1733480912,0.0,19M
1733480915,0.0,19M
1733480917,0.0,19M
1733480919,0.0,19M
1733480922,0.0,19M
1733480924,0.0,19M
1733480926,0.0,19M
