timestamp,cpu_percent,memory
1733421811,0.1,4017K-
1733421813,0.0,4017K
1733421816,0.0,4017K
1733421818,0.0,4017K
1733421820,0.0,4017K
1733421823,34.9,5537K+
1733421825,67.5,14M+
1733421828,64.5,15M+
1733421830,58.0,15M
1733421832,46.2,15M
1733421835,51.9,17M
1733421837,47.4,17M
1733421839,44.5,19M
1733421842,48.3,19M+
1733421844,46.9,19M
1733421846,42.1,19M
1733421849,45.6,21M
1733421851,65.4,21M+
1733421854,45.5,21M
1733421856,65.2,22M+
1733421858,55.2,22M
1733421861,64.7,22M+
1733421863,45.5,22M+
1733421865,48.8,22M
1733421868,55.2,22M+
1733421870,47.1,22M
1733421872,63.8,23M+
1733421875,46.7,23M
1733421877,57.9,23M
1733421879,47.0,23M
1733421882,54.0,23M
1733421884,43.5,23M
1733421886,49.0,23M
